,rsi,symbol
2004-09-09,53.2835,GOOGL
2004-09-10,57.8424,GOOGL
2004-09-13,60.8024,GOOGL
2004-09-14,65.5868,GOOGL
2004-09-15,66.1555,GOOGL
2004-09-16,68.3323,GOOGL
2004-09-17,71.8199,GOOGL
2004-09-20,73.4903,GOOGL
2004-09-21,69.8653,GOOGL
2004-09-22,70.4234,GOOGL
2004-09-23,72.8688,GOOGL
2004-09-24,70.3281,GOOGL
2004-09-27,66.3756,GOOGL
2004-09-28,74.7476,GOOGL
2004-09-29,77.6838,GOOGL
2004-09-30,74.4158,GOOGL
2004-10-01,76.5545,GOOGL
2004-10-04,78.1887,GOOGL
2004-10-05,80.1748,GOOGL
2004-10-06,77.2234,GOOGL
2004-10-07,78.3984,GOOGL
2004-10-08,75.736,GOOGL
2004-10-11,70.0834,GOOGL
2004-10-12,72.0311,GOOGL
2004-10-13,74.9083,GOOGL
2004-10-14,75.7526,GOOGL
2004-10-15,77.3284,GOOGL
2004-10-18,80.5812,GOOGL
2004-10-19,77.6816,GOOGL
2004-10-20,62.8165,GOOGL
2004-10-21,70.1556,GOOGL
2004-10-22,80.7594,GOOGL
2004-10-25,84.5891,GOOGL
2004-10-26,78.3098,GOOGL
2004-10-27,79.5285,GOOGL
2004-10-28,81.4965,GOOGL
2004-10-29,78.5455,GOOGL
2004-11-01,80.1166,GOOGL
2004-11-02,78.7796,GOOGL
2004-11-03,75.0582,GOOGL
2004-11-04,67.571,GOOGL
2004-11-05,54.6434,GOOGL
2004-11-08,56.5113,GOOGL
2004-11-09,53.6487,GOOGL
2004-11-10,53.0176,GOOGL
2004-11-11,61.7599,GOOGL
2004-11-12,60.9383,GOOGL
2004-11-15,62.4519,GOOGL
2004-11-16,52.961,GOOGL
2004-11-17,52.9293,GOOGL
2004-11-18,49.4257,GOOGL
2004-11-19,50.7425,GOOGL
2004-11-22,47.6535,GOOGL
2004-11-23,49.5161,GOOGL
2004-11-24,54.7085,GOOGL
2004-11-26,57.7045,GOOGL
2004-11-29,58.7578,GOOGL
2004-11-30,59.3683,GOOGL
2004-12-01,57.3814,GOOGL
2004-12-02,56.8137,GOOGL
2004-12-03,57.62,GOOGL
2004-12-06,53.2219,GOOGL
2004-12-07,48.507,GOOGL
2004-12-08,47.1645,GOOGL
