,sma,symbol
1999-11-18,0.6612,AAPL
1999-11-19,0.6692,AAPL
1999-11-22,0.6748,AAPL
1999-11-23,0.6808,AAPL
1999-11-24,0.6868,AAPL
1999-11-26,0.6904,AAPL
1999-11-29,0.6894,AAPL
1999-11-30,0.6938,AAPL
1999-12-01,0.7001,AAPL
1999-12-02,0.7097,AAPL
1999-12-03,0.7228,AAPL
1999-12-06,0.7370,AAPL
1999-12-07,0.7513,AAPL
1999-12-08,0.7620,AAPL
1999-12-09,0.7704,AAPL
1999-12-10,0.7760,AAPL
1999-12-13,0.7805,AAPL
1999-12-14,0.7816,AAPL
1999-12-15,0.7829,AAPL
1999-12-16,0.7846,AAPL
1999-12-17,0.7875,AAPL
1999-12-20,0.7876,AAPL
1999-12-21,0.7873,AAPL
1999-12-22,0.7818,AAPL
1999-12-23,0.7756,AAPL
1999-12-27,0.7667,AAPL
1999-12-28,0.7561,AAPL
1999-12-29,0.7511,AAPL
1999-12-30,0.7485,AAPL
1999-12-31,0.7484,AAPL
2000-01-03,0.7553,AAPL
2000-01-04,0.7594,AAPL
2000-01-05,0.7632,AAPL
2000-01-06,0.7614,AAPL
2000-01-07,0.7611,AAPL
2000-01-10,0.7610,AAPL
2000-01-11,0.7557,AAPL
2000-01-12,0.7489,AAPL
2000-01-13,0.7453,AAPL
2000-01-14,0.7459,AAPL
2000-01-18,0.7490,AAPL
2000-01-19,0.7521,AAPL
2000-01-20,0.7592,AAPL
2000-01-21,0.7638,AAPL
2000-01-24,0.7607,AAPL
2000-01-25,0.7659,AAPL
2000-01-26,0.7693,AAPL
2000-01-27,0.7773,AAPL
2000-01-28,0.7784,AAPL
2000-01-31,0.7817,AAPL
2000-02-01,0.7857,AAPL
2000-02-02,0.7919,AAPL
2000-02-03,0.7954,AAPL
2000-02-04,0.7995,AAPL
2000-02-07,0.8049,AAPL
2000-02-08,0.8094,AAPL
2000-02-09,0.8089,AAPL
2000-02-10,0.8101,AAPL
2000-02-11,0.8114,AAPL
2000-02-14,0.8134,AAPL
2000-02-15,0.8181,AAPL
2000-02-16,0.8203,AAPL
2000-02-17,0.8274,AAPL
2000-02-18,0.8314,AAPL
2000-02-22,0.8387,AAPL
2000-02-23,0.8481,AAPL
2000-02-24,0.8544,AAPL
2000-02-25,0.8557,AAPL
2000-02-28,0.8553,AAPL
2000-02-29,0.8551,AAPL
2000-03-01,0.8646,AAPL
2000-03-02,0.8692,AAPL
2000-03-03,0.8795,AAPL
2000-03-06,0.8848,AAPL
2000-03-07,0.8869,AAPL
2000-03-08,0.8911,AAPL
2000-03-09,0.8951,AAPL
2000-03-10,0.9029,AAPL
2000-03-13,0.9069,AAPL
2000-03-14,0.9058,AAPL
2000-03-15,0.9064,AAPL
2000-03-16,0.9124,AAPL
2000-03-17,0.9187,AAPL
2000-03-20,0.9232,AAPL
2000-03-21,0.9257,AAPL
2000-03-22,0.9376,AAPL
2000-03-23,0.9447,AAPL
2000-03-24,0.9517,AAPL
2000-03-27,0.9607,AAPL
2000-03-28,0.9699,AAPL
2000-03-29,0.9772,AAPL
2000-03-30,0.9772,AAPL
2000-03-31,0.9850,AAPL
2000-04-03,0.9952,AAPL
2000-04-04,1.0012,AAPL
2000-04-05,1.0059,AAPL
2000-04-06,1.0060,AAPL
2000-04-07,1.0107,AAPL
2000-04-10,1.0054,AAPL
2000-04-11,0.9921,AAPL
2000-04-12,0.9749,AAPL
2000-04-13,0.9615,AAPL
2000-04-14,0.9467,AAPL
2000-04-17,0.9385,AAPL
2000-04-18,0.9336,AAPL
2000-04-19,0.9311,AAPL
2000-04-20,0.9220,AAPL
2000-04-24,0.9152,AAPL
2000-04-25,0.9157,AAPL
2000-04-26,0.9108,AAPL
2000-04-27,0.9117,AAPL
2000-04-28,0.9075,AAPL
2000-05-01,0.9072,AAPL
2000-05-02,0.9063,AAPL
2000-05-03,0.9094,AAPL
2000-05-04,0.9078,AAPL
2000-05-05,0.9084,AAPL
2000-05-08,0.9011,AAPL
2000-05-09,0.8896,AAPL
2000-05-10,0.8778,AAPL
2000-05-11,0.8692,AAPL
2000-05-12,0.8623,AAPL
2000-05-15,0.8477,AAPL
2000-05-16,0.8393,AAPL
2000-05-17,0.8257,AAPL
2000-05-18,0.8131,AAPL
2000-05-19,0.7969,AAPL
2000-05-22,0.7819,AAPL
2000-05-23,0.7662,AAPL
2000-05-24,0.7539,AAPL
2000-05-25,0.7400,AAPL
2000-05-26,0.7272,AAPL
2000-05-30,0.7176,AAPL
2000-05-31,0.7094,AAPL
2000-06-01,0.7021,AAPL
2000-06-02,0.6940,AAPL
2000-06-05,0.6888,AAPL
2000-06-06,0.6819,AAPL
2000-06-07,0.6793,AAPL
2000-06-08,0.6761,AAPL
2000-06-09,0.6771,AAPL
2000-06-12,0.6778,AAPL
2000-06-13,0.6824,AAPL
2000-06-14,0.6839,AAPL
2000-06-15,0.6866,AAPL
2000-06-16,0.6892,AAPL
2000-06-19,0.6941,AAPL
2000-06-20,0.7033,AAPL
2000-06-21,0.7152,AAPL
2000-06-22,0.7232,AAPL
2000-06-23,0.7297,AAPL
2000-06-26,0.7380,AAPL
2000-06-27,0.7417,AAPL
2000-06-28,0.7492,AAPL
2000-06-29,0.7529,AAPL
2000-06-30,0.7602,AAPL
2000-07-03,0.7667,AAPL
2000-07-05,0.7735,AAPL
2000-07-06,0.7796,AAPL
2000-07-07,0.7891,AAPL
2000-07-10,0.7985,AAPL
2000-07-11,0.8053,AAPL
2000-07-12,0.8088,AAPL
2000-07-13,0.8118,AAPL
2000-07-14,0.8182,AAPL
2000-07-17,0.8227,AAPL
2000-07-18,0.8286,AAPL
