,sma,symbol
1999-11-18,3.5893,AMZN
1999-11-19,3.6208,AMZN
1999-11-22,3.6710,AMZN
1999-11-23,3.7279,AMZN
1999-11-24,3.8143,AMZN
1999-11-26,3.9150,AMZN
1999-11-29,3.9594,AMZN
1999-11-30,4.0103,AMZN
1999-12-01,4.0567,AMZN
1999-12-02,4.1141,AMZN
1999-12-03,4.1556,AMZN
1999-12-06,4.2052,AMZN
1999-12-07,4.2306,AMZN
1999-12-08,4.2717,AMZN
1999-12-09,4.3633,AMZN
1999-12-10,4.4660,AMZN
1999-12-13,4.5446,AMZN
1999-12-14,4.5942,AMZN
1999-12-15,4.6272,AMZN
1999-12-16,4.6335,AMZN
1999-12-17,4.6464,AMZN
1999-12-20,4.6890,AMZN
1999-12-21,4.7422,AMZN
1999-12-22,4.7730,AMZN
1999-12-23,4.7853,AMZN
1999-12-27,4.7630,AMZN
1999-12-28,4.7496,AMZN
1999-12-29,4.7335,AMZN
1999-12-30,4.6459,AMZN
1999-12-31,4.5367,AMZN
2000-01-03,4.4898,AMZN
2000-01-04,4.4409,AMZN
2000-01-05,4.3525,AMZN
2000-01-06,4.2478,AMZN
2000-01-07,4.1603,AMZN
2000-01-10,4.0610,AMZN
2000-01-11,3.9427,AMZN
2000-01-12,3.8208,AMZN
2000-01-13,3.7349,AMZN
2000-01-14,3.6746,AMZN
2000-01-18,3.6096,AMZN
2000-01-19,3.5500,AMZN
2000-01-20,3.4989,AMZN
2000-01-21,3.4487,AMZN
2000-01-24,3.3799,AMZN
2000-01-25,3.3346,AMZN
2000-01-26,3.3098,AMZN
2000-01-27,3.3147,AMZN
2000-01-28,3.2866,AMZN
2000-01-31,3.2701,AMZN
2000-02-01,3.2726,AMZN
2000-02-02,3.2936,AMZN
2000-02-03,3.3587,AMZN
2000-02-04,3.4099,AMZN
2000-02-07,3.4487,AMZN
2000-02-08,3.5070,AMZN
2000-02-09,3.5623,AMZN
2000-02-10,3.6128,AMZN
2000-02-11,3.6344,AMZN
2000-02-14,3.6530,AMZN
2000-02-15,3.6851,AMZN
2000-02-16,3.6985,AMZN
2000-02-17,3.7246,AMZN
2000-02-18,3.7253,AMZN
2000-02-22,3.7114,AMZN
2000-02-23,3.7150,AMZN
2000-02-24,3.6587,AMZN
2000-02-25,3.6251,AMZN
2000-02-28,3.5920,AMZN
2000-02-29,3.5411,AMZN
2000-03-01,3.4898,AMZN
2000-03-02,3.4411,AMZN
2000-03-03,3.3922,AMZN
2000-03-06,3.3547,AMZN
