,sma,symbol
2004-09-08,2.5901,GOOGL
2004-09-09,2.5937,GOOGL
2004-09-10,2.5884,GOOGL
2004-09-13,2.5850,GOOGL
2004-09-14,2.5968,GOOGL
2004-09-15,2.6075,GOOGL
2004-09-16,2.6183,GOOGL
2004-09-17,2.6385,GOOGL
2004-09-20,2.6694,GOOGL
2004-09-21,2.6970,GOOGL
2004-09-22,2.7293,GOOGL
2004-09-23,2.7637,GOOGL
2004-09-24,2.7991,GOOGL
2004-09-27,2.8288,GOOGL
2004-09-28,2.8726,GOOGL
2004-09-29,2.9239,GOOGL
2004-09-30,2.9671,GOOGL
2004-10-01,3.0118,GOOGL
2004-10-04,3.0538,GOOGL
2004-10-05,3.1009,GOOGL
2004-10-06,3.1420,GOOGL
2004-10-07,3.1801,GOOGL
2004-10-08,3.2129,GOOGL
2004-10-11,3.2439,GOOGL
2004-10-12,3.2778,GOOGL
2004-10-13,3.3136,GOOGL
2004-10-14,3.3531,GOOGL
2004-10-15,3.3992,GOOGL
2004-10-18,3.4390,GOOGL
2004-10-19,3.4690,GOOGL
2004-10-20,3.4884,GOOGL
2004-10-21,3.5184,GOOGL
2004-10-22,3.5850,GOOGL
2004-10-25,3.6724,GOOGL
2004-10-26,3.7521,GOOGL
2004-10-27,3.8361,GOOGL
2004-10-28,3.9352,GOOGL
2004-10-29,4.0339,GOOGL
2004-11-01,4.1384,GOOGL
2004-11-02,4.2346,GOOGL
2004-11-03,4.3232,GOOGL
2004-11-04,4.3955,GOOGL
2004-11-05,4.4315,GOOGL
2004-11-08,4.4754,GOOGL
2004-11-09,4.5257,GOOGL
2004-11-10,4.5586,GOOGL
2004-11-11,4.5775,GOOGL
2004-11-12,4.5679,GOOGL
2004-11-15,4.5733,GOOGL
2004-11-16,4.5494,GOOGL
2004-11-17,4.5123,GOOGL
2004-11-18,4.4712,GOOGL
2004-11-19,4.4237,GOOGL
2004-11-22,4.3706,GOOGL
2004-11-23,4.3276,GOOGL
2004-11-24,4.3098,GOOGL
2004-11-26,4.3277,GOOGL
2004-11-29,4.3429,GOOGL
2004-11-30,4.3666,GOOGL
2004-12-01,4.3881,GOOGL
2004-12-02,4.3817,GOOGL
2004-12-03,4.3788,GOOGL
2004-12-06,4.3635,GOOGL
2004-12-07,4.3616,GOOGL
2004-12-08,4.3571,GOOGL
2004-12-09,4.3676,GOOGL
2004-12-10,4.3716,GOOGL
2004-12-13,4.3811,GOOGL
2004-12-14,4.4010,GOOGL
2004-12-15,4.4100,GOOGL
2004-12-16,4.4048,GOOGL
2004-12-17,4.4030,GOOGL
2004-12-20,4.4085,GOOGL
2004-12-21,4.4152,GOOGL
2004-12-22,4.4275,GOOGL
2004-12-23,4.4409,GOOGL
2004-12-27,4.4687,GOOGL
2004-12-28,4.5067,GOOGL
2004-12-29,4.5476,GOOGL
2004-12-30,4.5907,GOOGL
2004-12-31,4.6284,GOOGL
2005-01-03,4.6859,GOOGL
2005-01-04,4.7141,GOOGL
2005-01-05,4.7385,GOOGL
2005-01-06,4.7601,GOOGL
2005-01-07,4.7846,GOOGL
2005-01-10,4.8025,GOOGL
2005-01-11,4.8200,GOOGL
2005-01-12,4.8362,GOOGL
2005-01-13,4.8494,GOOGL
2005-01-14,4.8638,GOOGL
2005-01-18,4.8836,GOOGL
2005-01-19,4.8915,GOOGL
2005-01-20,4.8849,GOOGL
2005-01-21,4.8769,GOOGL
2005-01-24,4.8377,GOOGL
2005-01-25,4.8067,GOOGL
2005-01-26,4.7991,GOOGL
2005-01-27,4.7982,GOOGL
2005-01-28,4.7920,GOOGL
2005-01-31,4.7930,GOOGL
2005-02-01,4.7901,GOOGL
2005-02-02,4.8089,GOOGL
2005-02-03,4.8366,GOOGL
2005-02-04,4.8444,GOOGL
2005-02-07,4.8304,GOOGL
2005-02-08,4.8328,GOOGL
2005-02-09,4.8286,GOOGL
2005-02-10,4.8281,GOOGL
2005-02-11,4.8400,GOOGL
2005-02-14,4.8683,GOOGL
2005-02-15,4.8790,GOOGL
2005-02-16,4.8974,GOOGL
2005-02-17,4.9108,GOOGL
2005-02-18,4.9150,GOOGL
2005-02-22,4.9141,GOOGL
2005-02-23,4.8926,GOOGL
2005-02-24,4.8535,GOOGL
2005-02-25,4.8205,GOOGL
2005-02-28,4.8062,GOOGL
2005-03-01,4.7838,GOOGL
2005-03-02,4.7724,GOOGL
2005-03-03,4.7706,GOOGL
2005-03-04,4.7679,GOOGL
2005-03-07,4.7605,GOOGL
2005-03-08,4.7426,GOOGL
2005-03-09,4.7122,GOOGL
2005-03-10,4.6803,GOOGL
2005-03-11,4.6443,GOOGL
2005-03-14,4.6151,GOOGL
2005-03-15,4.5878,GOOGL
2005-03-16,4.5641,GOOGL
2005-03-17,4.5524,GOOGL
2005-03-18,4.5382,GOOGL
2005-03-21,4.5290,GOOGL
2005-03-22,4.5172,GOOGL
