,sma,symbol
1999-11-18,27.4078,MSFT
1999-11-19,27.2681,MSFT
1999-11-22,27.2078,MSFT
1999-11-23,27.1555,MSFT
1999-11-24,27.1542,MSFT
1999-11-26,27.1446,MSFT
1999-11-29,27.1501,MSFT
1999-11-30,27.1979,MSFT
1999-12-01,27.3311,MSFT
1999-12-02,27.4449,MSFT
1999-12-03,27.5970,MSFT
1999-12-06,27.7821,MSFT
1999-12-07,27.9070,MSFT
1999-12-08,28.0551,MSFT
1999-12-09,28.2264,MSFT
1999-12-10,28.3991,MSFT
1999-12-13,28.5485,MSFT
1999-12-14,28.7475,MSFT
1999-12-15,29.1150,MSFT
1999-12-16,29.6102,MSFT
1999-12-17,30.1600,MSFT
1999-12-20,30.6361,MSFT
1999-12-21,31.1337,MSFT
1999-12-22,31.6328,MSFT
1999-12-23,32.1005,MSFT
1999-12-27,32.6201,MSFT
1999-12-28,33.1576,MSFT
1999-12-29,33.7322,MSFT
1999-12-30,34.2779,MSFT
1999-12-31,34.7798,MSFT
2000-01-03,35.2173,MSFT
2000-01-04,35.5229,MSFT
2000-01-05,35.6407,MSFT
2000-01-06,35.5598,MSFT
2000-01-07,35.4762,MSFT
2000-01-10,35.4652,MSFT
2000-01-11,35.3226,MSFT
2000-01-12,35.0648,MSFT
2000-01-13,34.8536,MSFT
2000-01-14,34.7028,MSFT
2000-01-18,34.6548,MSFT
2000-01-19,34.4148,MSFT
2000-01-20,34.1598,MSFT
2000-01-21,33.8746,MSFT
2000-01-24,33.5387,MSFT
2000-01-25,33.3235,MSFT
2000-01-26,33.0067,MSFT
2000-01-27,32.7598,MSFT
2000-01-28,32.4705,MSFT
2000-01-31,32.1550,MSFT
2000-02-01,32.0139,MSFT
2000-02-02,31.9042,MSFT
2000-02-03,31.8123,MSFT
2000-02-04,31.6874,MSFT
2000-02-07,31.4968,MSFT
2000-02-08,31.5613,MSFT
2000-02-09,31.5174,MSFT
2000-02-10,31.5668,MSFT
2000-02-11,31.5380,MSFT
2000-02-14,31.4680,MSFT
2000-02-15,31.4502,MSFT
2000-02-16,31.4255,MSFT
2000-02-17,31.4555,MSFT
2000-02-18,31.3939,MSFT
2000-02-22,31.1936,MSFT
