,sma,symbol
1999-11-18,0.0572,NVDA
1999-11-19,0.0598,NVDA
1999-11-22,0.0623,NVDA
1999-11-23,0.0640,NVDA
1999-11-24,0.0652,NVDA
1999-11-26,0.0666,NVDA
1999-11-29,0.0677,NVDA
1999-11-30,0.0685,NVDA
1999-12-01,0.0696,NVDA
1999-12-02,0.0708,NVDA
1999-12-03,0.0716,NVDA
1999-12-06,0.0727,NVDA
1999-12-07,0.0731,NVDA
1999-12-08,0.0737,NVDA
1999-12-09,0.0740,NVDA
1999-12-10,0.0733,NVDA
1999-12-13,0.0727,NVDA
1999-12-14,0.0723,NVDA
1999-12-15,0.0720,NVDA
1999-12-16,0.0716,NVDA
1999-12-17,0.0717,NVDA
1999-12-20,0.0726,NVDA
1999-12-21,0.0734,NVDA
1999-12-22,0.0740,NVDA
1999-12-23,0.0751,NVDA
1999-12-27,0.0759,NVDA
1999-12-28,0.0768,NVDA
1999-12-29,0.0777,NVDA
1999-12-30,0.0787,NVDA
1999-12-31,0.0800,NVDA
2000-01-03,0.0812,NVDA
2000-01-04,0.0823,NVDA
2000-01-05,0.0835,NVDA
2000-01-06,0.0842,NVDA
2000-01-07,0.0848,NVDA
2000-01-10,0.0851,NVDA
2000-01-11,0.0850,NVDA
2000-01-12,0.0846,NVDA
2000-01-13,0.0840,NVDA
2000-01-14,0.0839,NVDA
2000-01-18,0.0841,NVDA
2000-01-19,0.0840,NVDA
2000-01-20,0.0838,NVDA
2000-01-21,0.0835,NVDA
2000-01-24,0.0830,NVDA
2000-01-25,0.0825,NVDA
2000-01-26,0.0821,NVDA
2000-01-27,0.0817,NVDA
2000-01-28,0.0811,NVDA
2000-01-31,0.0802,NVDA
2000-02-01,0.0797,NVDA
2000-02-02,0.0796,NVDA
2000-02-03,0.0792,NVDA
2000-02-04,0.0788,NVDA
2000-02-07,0.0777,NVDA
2000-02-08,0.0769,NVDA
2000-02-09,0.0763,NVDA
2000-02-10,0.0770,NVDA
2000-02-11,0.0779,NVDA
2000-02-14,0.0801,NVDA
2000-02-15,0.0821,NVDA
2000-02-16,0.0848,NVDA
2000-02-17,0.0880,NVDA
2000-02-18,0.0921,NVDA
2000-02-22,0.0959,NVDA
2000-02-23,0.0996,NVDA
2000-02-24,0.1031,NVDA
2000-02-25,0.1059,NVDA
2000-02-28,0.1090,NVDA
2000-02-29,0.1123,NVDA
2000-03-01,0.1152,NVDA
2000-03-02,0.1163,NVDA
2000-03-03,0.1176,NVDA
2000-03-06,0.1176,NVDA
2000-03-07,0.1214,NVDA
2000-03-08,0.1249,NVDA
2000-03-09,0.1303,NVDA
2000-03-10,0.1372,NVDA
2000-03-13,0.1487,NVDA
2000-03-14,0.1547,NVDA
2000-03-15,0.1602,NVDA
2000-03-16,0.1647,NVDA
2000-03-17,0.1701,NVDA
2000-03-20,0.1750,NVDA
2000-03-21,0.1794,NVDA
2000-03-22,0.1846,NVDA
2000-03-23,0.1898,NVDA
2000-03-24,0.1945,NVDA
2000-03-27,0.1950,NVDA
2000-03-28,0.1946,NVDA
2000-03-29,0.1912,NVDA
2000-03-30,0.1853,NVDA
2000-03-31,0.1764,NVDA
2000-04-03,0.1720,NVDA
2000-04-04,0.1678,NVDA
2000-04-05,0.1675,NVDA
2000-04-06,0.1670,NVDA
2000-04-07,0.1673,NVDA
2000-04-10,0.1672,NVDA
2000-04-11,0.1661,NVDA
2000-04-12,0.1636,NVDA
2000-04-13,0.1612,NVDA
2000-04-14,0.1587,NVDA
2000-04-17,0.1576,NVDA
2000-04-18,0.1589,NVDA
2000-04-19,0.1598,NVDA
2000-04-20,0.1592,NVDA
2000-04-24,0.1591,NVDA
2000-04-25,0.1604,NVDA
2000-04-26,0.1594,NVDA
2000-04-27,0.1587,NVDA
2000-04-28,0.1569,NVDA
2000-05-01,0.1567,NVDA
2000-05-02,0.1567,NVDA
2000-05-03,0.1579,NVDA
2000-05-04,0.1596,NVDA
2000-05-05,0.1628,NVDA
2000-05-08,0.1650,NVDA
2000-05-09,0.1653,NVDA
2000-05-10,0.1650,NVDA
2000-05-11,0.1653,NVDA
2000-05-12,0.1657,NVDA
2000-05-15,0.1657,NVDA
2000-05-16,0.1671,NVDA
2000-05-17,0.1697,NVDA
2000-05-18,0.1716,NVDA
2000-05-19,0.1730,NVDA
2000-05-22,0.1758,NVDA
2000-05-23,0.1786,NVDA
2000-05-24,0.1811,NVDA
2000-05-25,0.1829,NVDA
2000-05-26,0.1852,NVDA
2000-05-30,0.1882,NVDA
2000-05-31,0.1929,NVDA
2000-06-01,0.1977,NVDA
2000-06-02,0.2047,NVDA
2000-06-05,0.2114,NVDA
2000-06-06,0.2160,NVDA
2000-06-07,0.2176,NVDA
2000-06-08,0.2203,NVDA
2000-06-09,0.2236,NVDA
2000-06-12,0.2256,NVDA
2000-06-13,0.2282,NVDA
2000-06-14,0.2310,NVDA
2000-06-15,0.2344,NVDA
2000-06-16,0.2404,NVDA
2000-06-19,0.2471,NVDA
2000-06-20,0.2532,NVDA
2000-06-21,0.2608,NVDA
2000-06-22,0.2651,NVDA
2000-06-23,0.2670,NVDA
2000-06-26,0.2722,NVDA
2000-06-27,0.2750,NVDA
2000-06-28,0.2769,NVDA
2000-06-29,0.2757,NVDA
2000-06-30,0.2762,NVDA
2000-07-03,0.2756,NVDA
2000-07-05,0.2732,NVDA
2000-07-06,0.2712,NVDA
2000-07-07,0.2667,NVDA
2000-07-10,0.2617,NVDA
2000-07-11,0.2583,NVDA
2000-07-12,0.2532,NVDA
2000-07-13,0.2512,NVDA
2000-07-14,0.2512,NVDA
2000-07-17,0.2484,NVDA
2000-07-18,0.2485,NVDA
2000-07-19,0.2481,NVDA
2000-07-20,0.2509,NVDA
2000-07-21,0.2526,NVDA
2000-07-24,0.2529,NVDA
2000-07-25,0.2547,NVDA
2000-07-26,0.2545,NVDA
2000-07-27,0.2530,NVDA
2000-07-28,0.2510,NVDA
2000-07-31,0.2493,NVDA
2000-08-01,0.2468,NVDA
2000-08-02,0.2429,NVDA
2000-08-03,0.2398,NVDA
2000-08-04,0.2373,NVDA
2000-08-07,0.2366,NVDA
2000-08-08,0.2366,NVDA
2000-08-09,0.2356,NVDA
2000-08-10,0.2346,NVDA
2000-08-11,0.2352,NVDA
2000-08-14,0.2362,NVDA
2000-08-15,0.2402,NVDA
2000-08-16,0.2457,NVDA
2000-08-17,0.2513,NVDA
2000-08-18,0.2559,NVDA
2000-08-21,0.2612,NVDA
2000-08-22,0.2641,NVDA
2000-08-23,0.2675,NVDA
2000-08-24,0.2711,NVDA
2000-08-25,0.2728,NVDA
2000-08-28,0.2757,NVDA
2000-08-29,0.2792,NVDA
2000-08-30,0.2826,NVDA
2000-08-31,0.2867,NVDA
2000-09-01,0.2906,NVDA
2000-09-05,0.2929,NVDA
2000-09-06,0.2932,NVDA
2000-09-07,0.2942,NVDA
2000-09-08,0.2933,NVDA
2000-09-11,0.2912,NVDA
2000-09-12,0.2910,NVDA
2000-09-13,0.2896,NVDA
2000-09-14,0.2876,NVDA
2000-09-15,0.2865,NVDA
2000-09-18,0.2834,NVDA
2000-09-19,0.2809,NVDA
2000-09-20,0.2777,NVDA
2000-09-21,0.2749,NVDA
2000-09-22,0.2725,NVDA
2000-09-25,0.2715,NVDA
2000-09-26,0.2724,NVDA
2000-09-27,0.2734,NVDA
2000-09-28,0.2763,NVDA
2000-09-29,0.2794,NVDA
2000-10-02,0.2821,NVDA
2000-10-03,0.2836,NVDA
2000-10-04,0.2851,NVDA
2000-10-05,0.2857,NVDA
2000-10-06,0.2861,NVDA
2000-10-09,0.2864,NVDA
2000-10-10,0.2859,NVDA
2000-10-11,0.2848,NVDA
2000-10-12,0.2826,NVDA
2000-10-13,0.2797,NVDA
2000-10-16,0.2759,NVDA
2000-10-17,0.2697,NVDA
2000-10-18,0.2625,NVDA
2000-10-19,0.2576,NVDA
2000-10-20,0.2548,NVDA
2000-10-23,0.2527,NVDA
2000-10-24,0.2503,NVDA
2000-10-25,0.2468,NVDA
2000-10-26,0.2452,NVDA
2000-10-27,0.2428,NVDA
2000-10-30,0.2407,NVDA
2000-10-31,0.2399,NVDA
2000-11-01,0.2398,NVDA
2000-11-02,0.2402,NVDA
2000-11-03,0.2423,NVDA
2000-11-06,0.2472,NVDA
2000-11-07,0.2508,NVDA
2000-11-08,0.2524,NVDA
2000-11-09,0.2504,NVDA
2000-11-10,0.2479,NVDA
2000-11-13,0.2460,NVDA
2000-11-14,0.2487,NVDA
2000-11-15,0.2504,NVDA
2000-11-16,0.2513,NVDA
2000-11-17,0.2530,NVDA
2000-11-20,0.2521,NVDA
2000-11-21,0.2508,NVDA
2000-11-22,0.2473,NVDA
2000-11-24,0.2436,NVDA
2000-11-27,0.2378,NVDA
2000-11-28,0.2323,NVDA
2000-11-29,0.2265,NVDA
2000-11-30,0.2206,NVDA
2000-12-01,0.2167,NVDA
2000-12-04,0.2129,NVDA
2000-12-05,0.2070,NVDA
2000-12-06,0.1994,NVDA
2000-12-07,0.1928,NVDA
2000-12-08,0.1891,NVDA
2000-12-11,0.1867,NVDA
2000-12-12,0.1843,NVDA
2000-12-13,0.1816,NVDA
2000-12-14,0.1773,NVDA
2000-12-15,0.1723,NVDA
2000-12-18,0.1688,NVDA
2000-12-19,0.1654,NVDA
2000-12-20,0.1631,NVDA
2000-12-21,0.1585,NVDA
2000-12-22,0.1558,NVDA
2000-12-26,0.1518,NVDA
2000-12-27,0.1503,NVDA
2000-12-28,0.1491,NVDA
2000-12-29,0.1445,NVDA
2001-01-02,0.1391,NVDA
2001-01-03,0.1366,NVDA
2001-01-04,0.1363,NVDA
2001-01-05,0.1351,NVDA
2001-01-08,0.1359,NVDA
2001-01-09,0.1367,NVDA
2001-01-10,0.1390,NVDA
2001-01-11,0.1434,NVDA
2001-01-12,0.1486,NVDA
2001-01-16,0.1509,NVDA
2001-01-17,0.1540,NVDA
2001-01-18,0.1588,NVDA
2001-01-19,0.1631,NVDA
2001-01-22,0.1678,NVDA
2001-01-23,0.1747,NVDA
2001-01-24,0.1789,NVDA
2001-01-25,0.1805,NVDA
2001-01-26,0.1842,NVDA
2001-01-29,0.1871,NVDA
2001-01-30,0.1900,NVDA
2001-01-31,0.1920,NVDA
2001-02-01,0.1931,NVDA
2001-02-02,0.1930,NVDA
2001-02-05,0.1940,NVDA
2001-02-06,0.1946,NVDA
2001-02-07,0.1922,NVDA
2001-02-08,0.1902,NVDA
2001-02-09,0.1886,NVDA
2001-02-12,0.1854,NVDA
2001-02-13,0.1826,NVDA
2001-02-14,0.1822,NVDA
