,sma,symbol
2010-07-19,1.3006,TSLA
2010-07-20,1.2835,TSLA
2010-07-21,1.2663,TSLA
2010-07-22,1.2617,TSLA
2010-07-23,1.2717,TSLA
2010-07-26,1.2947,TSLA
2010-07-27,1.3173,TSLA
2010-07-28,1.3329,TSLA
2010-07-29,1.3469,TSLA
2010-07-30,1.3607,TSLA
2010-08-02,1.3739,TSLA
2010-08-03,1.3840,TSLA
2010-08-04,1.3905,TSLA
2010-08-05,1.3896,TSLA
2010-08-06,1.3785,TSLA
2010-08-09,1.3752,TSLA
2010-08-10,1.3695,TSLA
2010-08-11,1.3548,TSLA
2010-08-12,1.3372,TSLA
2010-08-13,1.3247,TSLA
2010-08-16,1.3162,TSLA
2010-08-17,1.3088,TSLA
2010-08-18,1.3012,TSLA
2010-08-19,1.2958,TSLA
2010-08-20,1.2871,TSLA
2010-08-23,1.2784,TSLA
2010-08-24,1.2686,TSLA
2010-08-25,1.2660,TSLA
2010-08-26,1.2668,TSLA
2010-08-27,1.2672,TSLA
2010-08-30,1.2712,TSLA
2010-08-31,1.2788,TSLA
2010-09-01,1.2923,TSLA
2010-09-02,1.3054,TSLA
2010-09-03,1.3162,TSLA
2010-09-07,1.3228,TSLA
2010-09-08,1.3330,TSLA
2010-09-09,1.3421,TSLA
2010-09-10,1.3472,TSLA
2010-09-13,1.3500,TSLA
2010-09-14,1.3591,TSLA
2010-09-15,1.3690,TSLA
2010-09-16,1.3747,TSLA
2010-09-17,1.3772,TSLA
2010-09-20,1.3829,TSLA
2010-09-21,1.3890,TSLA
2010-09-22,1.3863,TSLA
2010-09-23,1.3791,TSLA
2010-09-24,1.3746,TSLA
2010-09-27,1.3745,TSLA
2010-09-28,1.3769,TSLA
2010-09-29,1.3830,TSLA
2010-09-30,1.3841,TSLA
2010-10-01,1.3835,TSLA
2010-10-04,1.3829,TSLA
2010-10-05,1.3788,TSLA
2010-10-06,1.3765,TSLA
2010-10-07,1.3775,TSLA
2010-10-08,1.3745,TSLA
2010-10-11,1.3720,TSLA
2010-10-12,1.3737,TSLA
2010-10-13,1.3784,TSLA
2010-10-14,1.3815,TSLA
2010-10-15,1.3815,TSLA
2010-10-18,1.3760,TSLA
2010-10-19,1.3668,TSLA
2010-10-20,1.3680,TSLA
2010-10-21,1.3687,TSLA
2010-10-22,1.3674,TSLA
2010-10-25,1.3661,TSLA
2010-10-26,1.3704,TSLA
2010-10-27,1.3731,TSLA
2010-10-28,1.3767,TSLA
2010-10-29,1.3843,TSLA
2010-11-01,1.3899,TSLA
2010-11-02,1.3933,TSLA
2010-11-03,1.3981,TSLA
2010-11-04,1.4189,TSLA
2010-11-05,1.4390,TSLA
2010-11-08,1.4624,TSLA
2010-11-09,1.4814,TSLA
2010-11-10,1.5224,TSLA
2010-11-11,1.5572,TSLA
2010-11-12,1.6000,TSLA
2010-11-15,1.6450,TSLA
2010-11-16,1.6863,TSLA
2010-11-17,1.7258,TSLA
2010-11-18,1.7641,TSLA
2010-11-19,1.8097,TSLA
2010-11-22,1.8676,TSLA
2010-11-23,1.9285,TSLA
2010-11-24,1.9789,TSLA
2010-11-26,2.0307,TSLA
2010-11-29,2.0752,TSLA
2010-11-30,2.1262,TSLA
2010-12-01,2.1499,TSLA
2010-12-02,2.1705,TSLA
2010-12-03,2.1783,TSLA
2010-12-06,2.1760,TSLA
2010-12-07,2.1850,TSLA
2010-12-08,2.1987,TSLA
2010-12-09,2.2090,TSLA
2010-12-10,2.2115,TSLA
2010-12-13,2.1980,TSLA
2010-12-14,2.1692,TSLA
2010-12-15,2.1412,TSLA
2010-12-16,2.1198,TSLA
2010-12-17,2.1056,TSLA
2010-12-20,2.0883,TSLA
2010-12-21,2.0784,TSLA
2010-12-22,2.0797,TSLA
2010-12-23,2.0730,TSLA
2010-12-27,2.0504,TSLA
2010-12-28,2.0259,TSLA
2010-12-29,2.0038,TSLA
2010-12-30,1.9773,TSLA
2010-12-31,1.9540,TSLA
2011-01-03,1.9353,TSLA
2011-01-04,1.9265,TSLA
2011-01-05,1.9133,TSLA
2011-01-06,1.8993,TSLA
2011-01-07,1.8845,TSLA
2011-01-10,1.8690,TSLA
2011-01-11,1.8438,TSLA
2011-01-12,1.8168,TSLA
2011-01-13,1.7983,TSLA
2011-01-14,1.7993,TSLA
2011-01-18,1.7956,TSLA
2011-01-19,1.7780,TSLA
2011-01-20,1.7595,TSLA
2011-01-21,1.7424,TSLA
2011-01-24,1.7323,TSLA
2011-01-25,1.7228,TSLA
2011-01-26,1.7129,TSLA
2011-01-27,1.6988,TSLA
2011-01-28,1.6787,TSLA
2011-01-31,1.6580,TSLA
2011-02-01,1.6434,TSLA
2011-02-02,1.6290,TSLA
2011-02-03,1.6167,TSLA
2011-02-04,1.6058,TSLA
2011-02-07,1.5936,TSLA
2011-02-08,1.5958,TSLA
2011-02-09,1.5986,TSLA
2011-02-10,1.5994,TSLA
2011-02-11,1.5935,TSLA
2011-02-14,1.5859,TSLA
2011-02-15,1.5768,TSLA
2011-02-16,1.5759,TSLA
2011-02-17,1.5739,TSLA
2011-02-18,1.5695,TSLA
2011-02-22,1.5598,TSLA
2011-02-23,1.5498,TSLA
2011-02-24,1.5445,TSLA
2011-02-25,1.5453,TSLA
2011-02-28,1.5492,TSLA
2011-03-01,1.5465,TSLA
2011-03-02,1.5504,TSLA
2011-03-03,1.5559,TSLA
2011-03-04,1.5640,TSLA
2011-03-07,1.5728,TSLA
2011-03-08,1.5815,TSLA
2011-03-09,1.5814,TSLA
2011-03-10,1.5834,TSLA
