date,sma,symbol
2025-01-03,251.0493,AAPL
2025-01-06,250.8263,AAPL
2025-01-07,250.197,AAPL
2025-01-08,249.4288,AAPL
2025-01-10,248.6307,AAPL
2025-01-13,247.5339,AAPL
2025-01-14,246.0225,AAPL
2025-01-15,244.7825,AAPL
2025-01-16,242.6489,AAPL
2025-01-17,240.5794,AAPL
2025-01-21,238.2314,AAPL
2025-01-22,236.2096,AAPL
2025-01-23,234.3027,AAPL
2025-01-24,232.8012,AAPL
2025-01-27,231.8391,AAPL
2025-01-28,231.3588,AAPL
2025-01-29,231.1557,AAPL
2025-01-30,230.7916,AAPL
2025-01-31,230.731,AAPL
2025-02-03,230.2756,AAPL
2025-02-04,230.2414,AAPL
2025-02-05,229.8566,AAPL
2025-02-06,230.2101,AAPL
2025-02-07,230.0426,AAPL
2025-02-10,230.4174,AAPL
2025-02-11,231.062,AAPL
2025-02-12,232.022,AAPL
2025-02-13,233.377,AAPL
2025-02-14,234.4466,AAPL
2025-02-18,234.9082,AAPL
2025-02-19,235.3201,AAPL
2025-02-20,235.9265,AAPL
2025-02-21,236.6263,AAPL
2025-02-24,238.006,AAPL
2025-02-25,239.0401,AAPL
2025-02-26,239.6212,AAPL
2025-02-27,239.9305,AAPL
2025-02-28,240.9621,AAPL
2025-03-03,241.7026,AAPL
2025-03-04,241.9387,AAPL
2025-03-05,241.8581,AAPL
2025-03-06,241.4158,AAPL
2025-03-07,241.0213,AAPL
2025-03-10,239.8092,AAPL
2025-03-11,238.0949,AAPL
2025-03-12,236.0367,AAPL
2025-03-13,233.4777,AAPL
2025-03-14,231.08,AAPL
2025-03-17,228.7229,AAPL
2025-03-18,226.7489,AAPL
2025-03-19,225.1751,AAPL
2025-03-20,223.1961,AAPL
2025-03-21,221.7864,AAPL
2025-03-24,220.7021,AAPL
2025-03-25,219.8467,AAPL
2025-03-26,218.8622,AAPL
2025-03-27,217.7764,AAPL
2025-03-28,217.0929,AAPL
2025-03-31,217.185,AAPL
2025-04-01,217.628,AAPL
2025-04-02,218.6417,AAPL
2025-04-03,217.9069,AAPL
2025-04-04,216.0792,AAPL
2025-04-07,213.8512,AAPL
2025-04-08,210.7964,AAPL
2025-04-09,209.7085,AAPL
2025-04-10,207.7216,AAPL
2025-04-11,206.1108,AAPL
2025-04-14,204.5962,AAPL
2025-04-15,203.2129,AAPL
2025-04-16,201.1027,AAPL
2025-04-17,199.6102,AAPL
2025-04-21,197.5435,AAPL
2025-04-22,195.8705,AAPL
2025-04-23,194.4944,AAPL
2025-04-24,194.8639,AAPL
2025-04-25,196.3549,AAPL
2025-04-28,198.401,AAPL
2025-04-29,201.1683,AAPL
2025-04-30,202.1421,AAPL
2025-05-01,203.7758,AAPL
2025-05-02,204.2894,AAPL
2025-05-05,204.0305,AAPL
2025-05-06,203.7715,AAPL
2025-05-07,203.9128,AAPL
2025-05-08,203.9492,AAPL
2025-05-09,204.3323,AAPL
2025-05-12,205.1391,AAPL
2025-05-13,205.7521,AAPL
2025-05-14,206.0533,AAPL
2025-05-15,206.2267,AAPL
2025-05-16,206.3252,AAPL
2025-05-19,206.1702,AAPL
2025-05-20,205.7861,AAPL
2025-05-21,205.0027,AAPL
2025-05-22,204.7358,AAPL
2025-05-23,204.4947,AAPL
2025-05-27,204.6336,AAPL
2025-05-28,204.9487,AAPL
2025-05-29,205.1418,AAPL
