date,sma,symbol
2025-01-03,225.02,AMZN
2025-01-06,225.0307,AMZN
2025-01-07,224.2579,AMZN
2025-01-08,223.6136,AMZN
2025-01-10,223.5007,AMZN
2025-01-13,223.1557,AMZN
2025-01-14,222.6443,AMZN
2025-01-15,222.5221,AMZN
2025-01-16,221.9229,AMZN
2025-01-17,221.8436,AMZN
2025-01-21,222.3407,AMZN
2025-01-22,223.32,AMZN
2025-01-23,224.465,AMZN
2025-01-24,225.51,AMZN
2025-01-27,226.3121,AMZN
2025-01-28,227.065,AMZN
2025-01-29,228.1336,AMZN
2025-01-30,229.0271,AMZN
2025-01-31,230.3657,AMZN
2025-02-03,231.72,AMZN
2025-02-04,233.4557,AMZN
2025-02-05,234.3714,AMZN
2025-02-06,235.6693,AMZN
2025-02-07,235.8986,AMZN
2025-02-10,236.0721,AMZN
2025-02-11,235.9114,AMZN
2025-02-12,235.4479,AMZN
2025-02-13,235.1279,AMZN
2025-02-14,234.6464,AMZN
2025-02-18,233.825,AMZN
2025-02-19,233.0793,AMZN
2025-02-20,232.2393,AMZN
2025-02-21,230.7321,AMZN
2025-02-24,228.9671,AMZN
2025-02-25,226.8771,AMZN
2025-02-26,225.3186,AMZN
2025-02-27,223.1693,AMZN
2025-02-28,221.9643,AMZN
2025-03-03,219.9557,AMZN
2025-03-04,217.8871,AMZN
2025-03-05,216.4179,AMZN
2025-03-06,214.2986,AMZN
2025-03-07,212.1964,AMZN
2025-03-10,209.9029,AMZN
2025-03-11,207.7571,AMZN
2025-03-12,206.0436,AMZN
2025-03-13,204.4229,AMZN
2025-03-14,203.3686,AMZN
2025-03-17,202.15,AMZN
2025-03-18,200.6121,AMZN
2025-03-19,199.6693,AMZN
2025-03-20,198.4314,AMZN
2025-03-21,197.8021,AMZN
2025-03-24,197.7636,AMZN
2025-03-25,197.5743,AMZN
2025-03-26,197.605,AMZN
2025-03-27,197.7557,AMZN
2025-03-28,197.6257,AMZN
2025-03-31,197.1736,AMZN
2025-04-01,196.6936,AMZN
2025-04-02,196.845,AMZN
2025-04-03,195.4493,AMZN
2025-04-04,193.6821,AMZN
2025-04-07,192.4279,AMZN
2025-04-08,190.6507,AMZN
2025-04-09,190.3757,AMZN
2025-04-10,189.305,AMZN
2025-04-11,187.9914,AMZN
2025-04-14,186.3064,AMZN
2025-04-15,184.7679,AMZN
2025-04-16,182.8371,AMZN
2025-04-17,181.4007,AMZN
2025-04-21,179.7621,AMZN
2025-04-22,178.4057,AMZN
2025-04-23,177.305,AMZN
2025-04-24,177.8857,AMZN
2025-04-25,179.1707,AMZN
2025-04-28,180.0593,AMZN
2025-04-29,181.2543,AMZN
2025-04-30,180.7771,AMZN
2025-05-01,181.4186,AMZN
2025-05-02,181.7836,AMZN
2025-05-05,182.0857,AMZN
2025-05-06,182.4729,AMZN
2025-05-07,183.5,AMZN
2025-05-08,184.8907,AMZN
2025-05-09,186.7293,AMZN
2025-05-12,189.2621,AMZN
2025-05-13,191.46,AMZN
2025-05-14,193.1536,AMZN
2025-05-15,194.3093,AMZN
2025-05-16,195.5871,AMZN
2025-05-19,196.9279,AMZN
2025-05-20,198.3314,AMZN
2025-05-21,199.1114,AMZN
2025-05-22,200.0486,AMZN
2025-05-23,201.0943,AMZN
2025-05-27,202.595,AMZN
2025-05-28,203.7386,AMZN
2025-05-29,204.7114,AMZN
