date,sma,symbol
2025-01-03,191.9885,GOOGL
2025-01-06,192.4915,GOOGL
2025-01-07,192.408,GOOGL
2025-01-08,192.3031,GOOGL
2025-01-10,192.5628,GOOGL
2025-01-13,192.7412,GOOGL
2025-01-14,192.6163,GOOGL
2025-01-15,192.682,GOOGL
2025-01-16,192.4537,GOOGL
2025-01-17,192.4822,GOOGL
2025-01-21,192.8596,GOOGL
2025-01-22,193.3683,GOOGL
2025-01-23,193.9875,GOOGL
2025-01-24,194.7566,GOOGL
2025-01-27,194.758,GOOGL
2025-01-28,194.646,GOOGL
2025-01-29,194.6403,GOOGL
2025-01-30,195.134,GOOGL
2025-01-31,195.9887,GOOGL
2025-02-03,196.7178,GOOGL
2025-02-04,197.9107,GOOGL
2025-02-05,197.6096,GOOGL
2025-02-06,197.5161,GOOGL
2025-02-07,196.7556,GOOGL
2025-02-10,195.9295,GOOGL
2025-02-11,194.9984,GOOGL
2025-02-12,193.9733,GOOGL
2025-02-13,192.9695,GOOGL
2025-02-14,192.5,GOOGL
2025-02-18,191.6775,GOOGL
2025-02-19,190.954,GOOGL
2025-02-20,189.7904,GOOGL
2025-02-21,188.0525,GOOGL
2025-02-24,186.4844,GOOGL
2025-02-25,184.2757,GOOGL
2025-02-26,182.9487,GOOGL
2025-02-27,181.3007,GOOGL
2025-02-28,180.2263,GOOGL
2025-03-03,178.8379,GOOGL
2025-03-04,177.8106,GOOGL
2025-03-05,177.0551,GOOGL
2025-03-06,176.0713,GOOGL
2025-03-07,175.2601,GOOGL
2025-03-10,173.9973,GOOGL
2025-03-11,172.4969,GOOGL
2025-03-12,171.2663,GOOGL
2025-03-13,170.0746,GOOGL
2025-03-14,169.1072,GOOGL
2025-03-17,168.3273,GOOGL
2025-03-18,167.4807,GOOGL
2025-03-19,167.1659,GOOGL
2025-03-20,166.6463,GOOGL
2025-03-21,166.4449,GOOGL
2025-03-24,166.2282,GOOGL
2025-03-25,166.0674,GOOGL
2025-03-26,165.5615,GOOGL
2025-03-27,164.7464,GOOGL
2025-03-28,163.9221,GOOGL
2025-03-31,163.2507,GOOGL
2025-04-01,162.5336,GOOGL
2025-04-02,162.125,GOOGL
2025-04-03,161.07,GOOGL
2025-04-04,159.735,GOOGL
2025-04-07,158.7407,GOOGL
2025-04-08,157.37,GOOGL
2025-04-09,157.0779,GOOGL
2025-04-10,156.28,GOOGL
2025-04-11,155.5271,GOOGL
2025-04-14,154.7064,GOOGL
2025-04-15,154.0814,GOOGL
2025-04-16,153.445,GOOGL
2025-04-17,153.2186,GOOGL
2025-04-21,152.7207,GOOGL
2025-04-22,152.3207,GOOGL
2025-04-23,152.2,GOOGL
2025-04-24,152.8114,GOOGL
2025-04-25,153.98,GOOGL
2025-04-28,154.97,GOOGL
2025-04-29,156.0743,GOOGL
2025-04-30,156.0807,GOOGL
2025-05-01,156.6864,GOOGL
2025-05-02,157.1786,GOOGL
2025-05-05,157.5457,GOOGL
2025-05-06,158.04,GOOGL
2025-05-07,157.9007,GOOGL
2025-05-08,158.1236,GOOGL
2025-05-09,158.4864,GOOGL
2025-05-12,158.9857,GOOGL
2025-05-13,159.2843,GOOGL
2025-05-14,159.7193,GOOGL
2025-05-15,159.8621,GOOGL
2025-05-16,160.2607,GOOGL
2025-05-19,160.7164,GOOGL
2025-05-20,161.0864,GOOGL
2025-05-21,161.605,GOOGL
2025-05-22,162.0936,GOOGL
2025-05-23,162.3979,GOOGL
2025-05-27,163.0886,GOOGL
2025-05-28,164.5871,GOOGL
2025-05-29,165.8429,GOOGL
