date,rsi,symbol
1999-11-19,28.0193,MSFT
1999-11-22,43.9039,MSFT
1999-11-23,43.3896,MSFT
1999-11-24,50.2292,MSFT
1999-11-26,48.4919,MSFT
1999-11-29,45.7136,MSFT
1999-11-30,48.6438,MSFT
1999-12-01,55.1336,MSFT
1999-12-02,59.324,MSFT
1999-12-03,62.3836,MSFT
1999-12-06,59.8663,MSFT
1999-12-07,51.7908,MSFT
1999-12-08,48.2034,MSFT
1999-12-09,51.1203,MSFT
1999-12-10,54.2293,MSFT
1999-12-13,60.8189,MSFT
1999-12-14,64.9137,MSFT
1999-12-15,77.0696,MSFT
1999-12-16,80.9057,MSFT
1999-12-17,81.8759,MSFT
1999-12-20,75.2746,MSFT
1999-12-21,77.692,MSFT
1999-12-22,78.8956,MSFT
1999-12-23,78.5714,MSFT
1999-12-27,79.8214,MSFT
1999-12-28,75.2622,MSFT
1999-12-29,75.6687,MSFT
1999-12-30,74.7072,MSFT
1999-12-31,72.0276,MSFT
2000-01-03,71.425,MSFT
2000-01-04,60.1821,MSFT
2000-01-05,62.1215,MSFT
2000-01-06,53.1891,MSFT
2000-01-07,55.7773,MSFT
2000-01-10,57.2104,MSFT
2000-01-11,50.8949,MSFT
2000-01-12,44.374,MSFT
2000-01-13,48.3758,MSFT
2000-01-14,55.9517,MSFT
2000-01-18,60.2782,MSFT
2000-01-19,46.8268,MSFT
2000-01-20,45.5107,MSFT
2000-01-21,42.6088,MSFT
2000-01-24,39.5884,MSFT
2000-01-25,42.3353,MSFT
2000-01-26,38.2094,MSFT
2000-01-27,37.5001,MSFT
2000-01-28,36.905,MSFT
2000-01-31,36.4319,MSFT
2000-02-01,46.3203,MSFT
2000-02-02,43.2747,MSFT
2000-02-03,48.121,MSFT
2000-02-04,52.6764,MSFT
2000-02-07,52.7676,MSFT
2000-02-08,57.6307,MSFT
2000-02-09,48.0903,MSFT
2000-02-10,51.0298,MSFT
2000-02-11,43.0712,MSFT
2000-02-14,42.6925,MSFT
2000-02-15,41.3944,MSFT
2000-02-16,40.2263,MSFT
2000-02-17,43.8565,MSFT
2000-02-18,38.1652,MSFT
2000-02-22,36.7571,MSFT
2000-02-23,37.6294,MSFT
2000-02-24,38.6647,MSFT
2000-02-25,34.4301,MSFT
2000-02-28,34.9874,MSFT
2000-02-29,32.3904,MSFT
2000-03-01,35.7665,MSFT
2000-03-02,41.3716,MSFT
2000-03-03,46.7474,MSFT
2000-03-06,39.0378,MSFT
2000-03-07,43.1671,MSFT
2000-03-08,47.726,MSFT
2000-03-09,54.2493,MSFT
2000-03-10,55.5934,MSFT
2000-03-13,50.7741,MSFT
2000-03-14,46.5979,MSFT
2000-03-15,47.0054,MSFT
2000-03-16,47.0054,MSFT
2000-03-17,53.5783,MSFT
2000-03-20,50.2241,MSFT
2000-03-21,57.8655,MSFT
2000-03-22,58.5031,MSFT
2000-03-23,67.6046,MSFT
2000-03-24,67.2728,MSFT
2000-03-27,54.9592,MSFT
2000-03-28,55.2482,MSFT
2000-03-29,58.5483,MSFT
2000-03-30,52.9688,MSFT
2000-03-31,56.3465,MSFT
2000-04-03,39.8764,MSFT
2000-04-04,38.0762,MSFT
2000-04-05,36.3986,MSFT
2000-04-06,36.1091,MSFT
2000-04-07,40.3353,MSFT
2000-04-10,37.7022,MSFT
2000-04-11,35.8618,MSFT
2000-04-12,32.3657,MSFT
2000-04-13,32.2753,MSFT
2000-04-14,28.5994,MSFT
2000-04-17,31.4669,MSFT
2000-04-18,38.5855,MSFT
2000-04-19,36.938,MSFT
2000-04-20,37.3233,MSFT
2000-04-24,28.1846,MSFT
2000-04-25,32.1766,MSFT
2000-04-26,31.2448,MSFT
2000-04-27,33.9656,MSFT
2000-04-28,33.9177,MSFT
2000-05-01,39.5643,MSFT
2000-05-02,36.3299,MSFT
2000-05-03,37.3952,MSFT
2000-05-04,37.2784,MSFT
2000-05-05,38.4517,MSFT
2000-05-08,37.0151,MSFT
2000-05-09,34.873,MSFT
2000-05-10,33.1972,MSFT
2000-05-11,36.5998,MSFT
2000-05-12,38.4877,MSFT
2000-05-15,39.6408,MSFT
2000-05-16,39.9224,MSFT
2000-05-17,37.3126,MSFT
2000-05-18,35.2557,MSFT
2000-05-19,33.7465,MSFT
2000-05-22,32.5897,MSFT
2000-05-23,31.2632,MSFT
2000-05-24,37.732,MSFT
2000-05-25,32.1502,MSFT
2000-05-26,32.0746,MSFT
2000-05-30,37.2101,MSFT
2000-05-31,35.9722,MSFT
2000-06-01,41.1178,MSFT
2000-06-02,45.263,MSFT
2000-06-05,46.5594,MSFT
2000-06-06,52.5083,MSFT
2000-06-07,54.2628,MSFT
2000-06-08,50.411,MSFT
2000-06-09,50.411,MSFT
2000-06-12,46.0584,MSFT
2000-06-13,48.5256,MSFT
2000-06-14,54.429,MSFT
2000-06-15,58.1079,MSFT
2000-06-16,58.4747,MSFT
2000-06-19,60.6798,MSFT
2000-06-20,63.0193,MSFT
2000-06-21,71.4377,MSFT
2000-06-22,69.0245,MSFT
2000-06-23,62.9376,MSFT
2000-06-26,65.6463,MSFT
2000-06-27,63.734,MSFT
2000-06-28,63.9471,MSFT
2000-06-29,58.9274,MSFT
2000-06-30,63.8363,MSFT
2000-07-03,63.8363,MSFT
2000-07-05,59.4384,MSFT
2000-07-06,63.8065,MSFT
2000-07-07,65.5425,MSFT
2000-07-10,58.2728,MSFT
2000-07-11,57.4156,MSFT
2000-07-12,59.7849,MSFT
2000-07-13,58.6914,MSFT
2000-07-14,55.7251,MSFT
2000-07-17,53.5394,MSFT
2000-07-18,54.3367,MSFT
2000-07-19,41.1424,MSFT
2000-07-20,45.6102,MSFT
2000-07-21,40.6896,MSFT
2000-07-24,37.6293,MSFT
2000-07-25,35.0953,MSFT
2000-07-26,33.2556,MSFT
2000-07-27,37.8547,MSFT
2000-07-28,38.7865,MSFT
2000-07-31,39.1549,MSFT
2000-08-01,36.9213,MSFT
2000-08-02,39.1895,MSFT
2000-08-03,42.0914,MSFT
2000-08-04,39.4857,MSFT
2000-08-07,42.4724,MSFT
2000-08-08,53.9356,MSFT
2000-08-09,54.2454,MSFT
2000-08-10,49.7292,MSFT
2000-08-11,49.2417,MSFT
2000-08-14,48.53,MSFT
2000-08-15,46.867,MSFT
2000-08-16,45.0582,MSFT
2000-08-17,47.0461,MSFT
2000-08-18,45.2817,MSFT
2000-08-21,44.0738,MSFT
2000-08-22,46.6163,MSFT
2000-08-23,44.8727,MSFT
2000-08-24,46.4683,MSFT
2000-08-25,44.5901,MSFT
2000-08-28,47.73,MSFT
2000-08-29,46.2176,MSFT
2000-08-30,42.5304,MSFT
2000-08-31,41.8044,MSFT
2000-09-01,43.8681,MSFT
2000-09-05,43.5617,MSFT
2000-09-06,40.595,MSFT
2000-09-07,44.3184,MSFT
2000-09-08,40.9728,MSFT
2000-09-11,38.8664,MSFT
2000-09-12,36.1075,MSFT
2000-09-13,37.0147,MSFT
2000-09-14,28.7609,MSFT
2000-09-15,24.8059,MSFT
2000-09-18,22.3722,MSFT
2000-09-19,34.0782,MSFT
2000-09-20,32.122,MSFT
2000-09-21,31.964,MSFT
2000-09-22,29.5135,MSFT
2000-09-25,25.1038,MSFT
2000-09-26,32.8799,MSFT
2000-09-27,28.3459,MSFT
2000-09-28,31.6942,MSFT
2000-09-29,29.5103,MSFT
2000-10-02,27.1343,MSFT
2000-10-03,22.824,MSFT
2000-10-04,21.2405,MSFT
2000-10-05,21.1559,MSFT
2000-10-06,22.1585,MSFT
2000-10-09,20.0669,MSFT
2000-10-10,22.2027,MSFT
2000-10-11,28.7928,MSFT
2000-10-12,26.0563,MSFT
2000-10-13,24.885,MSFT
2000-10-16,19.7665,MSFT
2000-10-17,20.0817,MSFT
2000-10-18,26.8392,MSFT
2000-10-19,57.0689,MSFT
2000-10-20,62.5187,MSFT
2000-10-23,55.504,MSFT
2000-10-24,54.1568,MSFT
2000-10-25,53.6008,MSFT
2000-10-26,59.3374,MSFT
2000-10-27,64.1945,MSFT
2000-10-30,66.0362,MSFT
2000-10-31,65.5328,MSFT
2000-11-01,66.6147,MSFT
2000-11-02,67.6217,MSFT
2000-11-03,61.6436,MSFT
2000-11-06,63.7385,MSFT
2000-11-07,65.368,MSFT
2000-11-08,62.1783,MSFT
2000-11-09,64.6821,MSFT
2000-11-10,55.0725,MSFT
2000-11-13,52.8266,MSFT
2000-11-14,57.5747,MSFT
2000-11-15,59.869,MSFT
2000-11-16,56.8999,MSFT
2000-11-17,57.1451,MSFT
2000-11-20,52.1642,MSFT
2000-11-21,53.4721,MSFT
2000-11-22,54.664,MSFT
2000-11-24,58.5307,MSFT
2000-11-27,60.1549,MSFT
2000-11-28,49.8169,MSFT
2000-11-29,45.3994,MSFT
2000-11-30,32.9448,MSFT
2000-12-01,32.0209,MSFT
2000-12-04,31.7778,MSFT
2000-12-05,40.5749,MSFT
2000-12-06,35.946,MSFT
2000-12-07,31.6117,MSFT
2000-12-08,34.7305,MSFT
2000-12-11,42.5299,MSFT
2000-12-12,43.1763,MSFT
2000-12-13,41.4053,MSFT
2000-12-14,38.754,MSFT
2000-12-15,31.037,MSFT
2000-12-18,29.6466,MSFT
2000-12-19,26.8324,MSFT
2000-12-20,24.1127,MSFT
2000-12-21,28.6757,MSFT
2000-12-22,35.1677,MSFT
2000-12-26,36.0866,MSFT
2000-12-27,35.544,MSFT
2000-12-28,33.2444,MSFT
2000-12-29,31.8514,MSFT
2001-01-02,31.8514,MSFT
2001-01-03,42.6257,MSFT
2001-01-04,43.6772,MSFT
2001-01-05,45.1706,MSFT
2001-01-08,44.8182,MSFT
2001-01-09,51.0325,MSFT
2001-01-10,53.1508,MSFT
2001-01-11,57.1097,MSFT
2001-01-12,53.6549,MSFT
2001-01-16,51.5504,MSFT
2001-01-17,52.3638,MSFT
2001-01-18,57.5363,MSFT
2001-01-19,66.0624,MSFT
2001-01-22,63.8776,MSFT
2001-01-23,64.5025,MSFT
2001-01-24,67.8206,MSFT
2001-01-25,64.727,MSFT
2001-01-26,67.7932,MSFT
2001-01-29,68.4672,MSFT
