date,sma,symbol
2025-01-03,433.7545,MSFT
2025-01-06,432.3726,MSFT
2025-01-07,430.2934,MSFT
2025-01-08,428.1659,MSFT
2025-01-10,426.8538,MSFT
2025-01-13,425.442,MSFT
2025-01-14,423.9527,MSFT
2025-01-15,423.3166,MSFT
2025-01-16,422.267,MSFT
2025-01-17,421.6209,MSFT
2025-01-21,421.4765,MSFT
2025-01-22,422.9971,MSFT
2025-01-23,424.7909,MSFT
2025-01-24,426.604,MSFT
2025-01-27,427.4017,MSFT
2025-01-28,428.7785,MSFT
2025-01-29,430.1988,MSFT
2025-01-30,429.5178,MSFT
2025-01-31,429.241,MSFT
2025-02-03,428.7949,MSFT
2025-02-04,428.5601,MSFT
2025-02-05,427.6336,MSFT
2025-02-06,427.0103,MSFT
2025-02-07,425.6384,MSFT
2025-02-10,424.48,MSFT
2025-02-11,422.0066,MSFT
2025-02-12,419.3262,MSFT
2025-02-13,416.941,MSFT
2025-02-14,415.0817,MSFT
2025-02-18,412.4091,MSFT
2025-02-19,410.448,MSFT
2025-02-20,410.5882,MSFT
2025-02-21,410.1587,MSFT
2025-02-24,409.7236,MSFT
2025-02-25,408.7505,MSFT
2025-02-26,407.8423,MSFT
2025-02-27,406.2408,MSFT
2025-02-28,405.3892,MSFT
2025-03-03,403.7558,MSFT
2025-03-04,402.1865,MSFT
2025-03-05,401.6727,MSFT
2025-03-06,400.7578,MSFT
2025-03-07,399.7377,MSFT
2025-03-10,397.694,MSFT
2025-03-11,395.3059,MSFT
2025-03-12,392.9631,MSFT
2025-03-13,390.8641,MSFT
2025-03-14,389.7632,MSFT
2025-03-17,389.1073,MSFT
2025-03-18,387.9515,MSFT
2025-03-19,387.6157,MSFT
2025-03-20,386.892,MSFT
2025-03-21,387.0895,MSFT
2025-03-24,387.4082,MSFT
2025-03-25,386.9904,MSFT
2025-03-26,386.4971,MSFT
2025-03-27,386.3024,MSFT
2025-03-28,386.2054,MSFT
2025-03-31,385.8447,MSFT
2025-04-01,385.7677,MSFT
2025-04-02,386.0079,MSFT
2025-04-03,384.9064,MSFT
2025-04-04,382.8487,MSFT
2025-04-07,381.0192,MSFT
2025-04-08,378.6479,MSFT
2025-04-09,378.9081,MSFT
2025-04-10,378.2015,MSFT
2025-04-11,377.8714,MSFT
2025-04-14,377.3474,MSFT
2025-04-15,377.0451,MSFT
2025-04-16,375.6926,MSFT
2025-04-17,374.9069,MSFT
2025-04-21,373.7468,MSFT
2025-04-22,372.651,MSFT
2025-04-23,372.0984,MSFT
2025-04-24,373.1101,MSFT
2025-04-25,375.3924,MSFT
2025-04-28,377.7666,MSFT
2025-04-29,380.5815,MSFT
2025-04-30,380.9216,MSFT
2025-05-01,384.0622,MSFT
2025-05-02,387.4011,MSFT
2025-05-05,390.8491,MSFT
2025-05-06,394.2414,MSFT
2025-05-07,398.6434,MSFT
2025-05-08,403.662,MSFT
2025-05-09,409.3381,MSFT
2025-05-12,415.2159,MSFT
2025-05-13,420.5454,MSFT
2025-05-14,425.2254,MSFT
2025-05-15,429.6537,MSFT
2025-05-16,434.2127,MSFT
2025-05-19,438.8948,MSFT
2025-05-20,443.44,MSFT
2025-05-21,445.4363,MSFT
2025-05-22,446.8917,MSFT
2025-05-23,447.9494,MSFT
2025-05-27,449.9617,MSFT
2025-05-28,451.7333,MSFT
2025-05-29,453.2555,MSFT
