date,sma,symbol
2025-01-03,135.8683,NVDA
2025-01-06,136.9525,NVDA
2025-01-07,137.5338,NVDA
2025-01-08,138.2281,NVDA
2025-01-10,138.728,NVDA
2025-01-13,138.9101,NVDA
2025-01-14,138.7002,NVDA
2025-01-15,138.4552,NVDA
2025-01-16,137.9802,NVDA
2025-01-17,137.8217,NVDA
2025-01-21,138.0945,NVDA
2025-01-22,138.7787,NVDA
2025-01-23,139.7022,NVDA
2025-01-24,140.01,NVDA
2025-01-27,138.1495,NVDA
2025-01-28,136.6896,NVDA
2025-01-29,135.5154,NVDA
2025-01-30,134.4112,NVDA
2025-01-31,133.2799,NVDA
2025-02-03,132.0964,NVDA
2025-02-04,131.1601,NVDA
2025-02-05,130.3452,NVDA
2025-02-06,129.9959,NVDA
2025-02-07,129.4338,NVDA
2025-02-10,128.9153,NVDA
2025-02-11,127.8961,NVDA
2025-02-12,126.7476,NVDA
2025-02-13,126.2241,NVDA
2025-02-14,127.6833,NVDA
2025-02-18,128.4268,NVDA
2025-02-19,129.536,NVDA
2025-02-20,130.6401,NVDA
2025-02-21,131.6658,NVDA
2025-02-24,132.6385,NVDA
2025-02-25,133.2085,NVDA
2025-02-26,133.6692,NVDA
2025-02-27,133.0599,NVDA
2025-02-28,132.7085,NVDA
2025-03-03,131.3151,NVDA
2025-03-04,130.1145,NVDA
2025-03-05,129.126,NVDA
2025-03-06,127.3604,NVDA
2025-03-07,125.492,NVDA
2025-03-10,123.1765,NVDA
2025-03-11,121.0003,NVDA
2025-03-12,119.2604,NVDA
2025-03-13,117.9148,NVDA
2025-03-14,117.3006,NVDA
2025-03-17,116.7943,NVDA
2025-03-18,115.6629,NVDA
2025-03-19,115.4758,NVDA
2025-03-20,115.0201,NVDA
2025-03-21,115.2809,NVDA
2025-03-24,115.6687,NVDA
2025-03-25,115.9116,NVDA
2025-03-26,116.1401,NVDA
2025-03-27,116.0508,NVDA
2025-03-28,116.2436,NVDA
2025-03-31,116.2171,NVDA
2025-04-01,115.8179,NVDA
2025-04-02,115.4493,NVDA
2025-04-03,114.03,NVDA
2025-04-04,112.2286,NVDA
2025-04-07,110.9579,NVDA
2025-04-08,109.4421,NVDA
2025-04-09,109.1421,NVDA
2025-04-10,108.4186,NVDA
2025-04-11,107.67,NVDA
2025-04-14,106.9571,NVDA
2025-04-15,106.8457,NVDA
2025-04-16,106.35,NVDA
2025-04-17,105.7657,NVDA
2025-04-21,104.9464,NVDA
2025-04-22,104.1421,NVDA
2025-04-23,103.5914,NVDA
2025-04-24,103.9221,NVDA
2025-04-25,105.115,NVDA
2025-04-28,105.9071,NVDA
2025-04-29,106.8157,NVDA
2025-04-30,106.4293,NVDA
2025-05-01,106.7179,NVDA
2025-05-02,106.9729,NVDA
2025-05-05,107.195,NVDA
2025-05-06,107.2907,NVDA
2025-05-07,108.1886,NVDA
2025-05-08,109.3229,NVDA
2025-05-09,110.7329,NVDA
2025-05-12,112.455,NVDA
2025-05-13,114.3993,NVDA
2025-05-14,116.4643,NVDA
2025-05-15,118.1657,NVDA
2025-05-16,120.0707,NVDA
2025-05-19,121.9671,NVDA
2025-05-20,123.7857,NVDA
2025-05-21,125.2279,NVDA
2025-05-22,126.5371,NVDA
2025-05-23,127.785,NVDA
2025-05-27,129.3536,NVDA
2025-05-28,130.6214,NVDA
2025-05-29,132.18,NVDA
