date,rsi,symbol
2010-07-20,39.2063,TSLA
2010-07-21,39.0042,TSLA
2010-07-22,42.1356,TSLA
2010-07-23,43.3011,TSLA
2010-07-26,42.2272,TSLA
2010-07-27,40.9408,TSLA
2010-07-28,41.7529,TSLA
2010-07-29,40.4492,TSLA
2010-07-30,38.9961,TSLA
2010-08-02,44.1597,TSLA
2010-08-03,49.0418,TSLA
2010-08-04,46.1321,TSLA
2010-08-05,42.9132,TSLA
2010-08-06,39.7425,TSLA
2010-08-09,39.7982,TSLA
2010-08-10,37.6612,TSLA
2010-08-11,33.7879,TSLA
2010-08-12,32.8227,TSLA
2010-08-13,37.4414,TSLA
2010-08-16,40.2671,TSLA
2010-08-17,42.5161,TSLA
2010-08-18,40.8164,TSLA
2010-08-19,40.9502,TSLA
2010-08-20,43.0977,TSLA
2010-08-23,49.6497,TSLA
2010-08-24,44.6505,TSLA
2010-08-25,48.8271,TSLA
2010-08-26,47.9914,TSLA
2010-08-27,47.6983,TSLA
2010-08-30,48.8422,TSLA
2010-08-31,46.3384,TSLA
2010-09-01,52.817,TSLA
2010-09-02,56.3832,TSLA
2010-09-03,56.3081,TSLA
2010-09-07,52.4679,TSLA
2010-09-08,54.8107,TSLA
2010-09-09,53.3171,TSLA
2010-09-10,49.2124,TSLA
2010-09-13,53.1671,TSLA
2010-09-14,55.8592,TSLA
2010-09-15,61.044,TSLA
2010-09-16,52.9449,TSLA
2010-09-17,48.2394,TSLA
2010-09-20,53.4198,TSLA
2010-09-21,51.5022,TSLA
2010-09-22,45.8989,TSLA
2010-09-23,44.1184,TSLA
2010-09-24,47.9091,TSLA
2010-09-27,50.7727,TSLA
2010-09-28,56.0385,TSLA
2010-09-29,59.1738,TSLA
2010-09-30,48.9618,TSLA
2010-10-01,50.1098,TSLA
2010-10-04,52.4151,TSLA
2010-10-05,53.1915,TSLA
2010-10-06,48.835,TSLA
2010-10-07,48.64,TSLA
2010-10-08,48.64,TSLA
2010-10-11,47.2539,TSLA
2010-10-12,47.2539,TSLA
2010-10-13,49.8698,TSLA
2010-10-14,51.6764,TSLA
2010-10-15,49.7457,TSLA
2010-10-18,46.9568,TSLA
2010-10-19,45.3664,TSLA
2010-10-20,51.2889,TSLA
2010-10-21,52.2185,TSLA
2010-10-22,51.8985,TSLA
2010-10-25,53.2359,TSLA
2010-10-26,58.1517,TSLA
2010-10-27,53.8487,TSLA
2010-10-28,55.7114,TSLA
2010-10-29,61.4444,TSLA
2010-11-01,56.2564,TSLA
2010-11-02,54.4153,TSLA
2010-11-03,59.1001,TSLA
2010-11-04,75.4532,TSLA
2010-11-05,70.9626,TSLA
2010-11-08,72.9945,TSLA
2010-11-09,69.5953,TSLA
2010-11-10,81.8777,TSLA
2010-11-11,72.9835,TSLA
2010-11-12,76.6971,TSLA
2010-11-15,78.3978,TSLA
2010-11-16,71.7589,TSLA
2010-11-17,70.7314,TSLA
2010-11-18,71.7011,TSLA
2010-11-19,74.2297,TSLA
2010-11-22,78.7168,TSLA
2010-11-23,80.4926,TSLA
2010-11-24,81.7538,TSLA
2010-11-26,80.816,TSLA
2010-11-29,74.7237,TSLA
2010-11-30,76.6393,TSLA
2010-12-01,70.9632,TSLA
2010-12-02,61.0292,TSLA
2010-12-03,57.3138,TSLA
2010-12-06,52.5835,TSLA
2010-12-07,56.6638,TSLA
2010-12-08,59.1188,TSLA
2010-12-09,57.7274,TSLA
2010-12-10,55.4018,TSLA
