date,sma,symbol
2025-01-03,433.2936,TSLA
2025-01-06,431.495,TSLA
2025-01-07,426.5907,TSLA
2025-01-08,420.525,TSLA
2025-01-10,417.2829,TSLA
2025-01-13,414.9357,TSLA
2025-01-14,413.1714,TSLA
2025-01-15,413.0014,TSLA
2025-01-16,409.54,TSLA
2025-01-17,407.5664,TSLA
2025-01-21,407.0243,TSLA
2025-01-22,406.86,TSLA
2025-01-23,407.47,TSLA
2025-01-24,409.42,TSLA
2025-01-27,408.4707,TSLA
2025-01-28,407.545,TSLA
2025-01-29,407.1693,TSLA
2025-01-30,407.5507,TSLA
2025-01-31,408.255,TSLA
2025-02-03,406.8529,TSLA
2025-02-04,406.5564,TSLA
2025-02-05,402.9814,TSLA
2025-02-06,400.16,TSLA
2025-02-07,395.5257,TSLA
2025-02-10,390.2871,TSLA
2025-02-11,384.1007,TSLA
2025-02-12,378.6814,TSLA
2025-02-13,375.0643,TSLA
2025-02-14,372.1136,TSLA
2025-02-18,368.9721,TSLA
2025-02-19,366.9336,TSLA
2025-02-20,363.6564,TSLA
2025-02-21,358.885,TSLA
2025-02-24,355.0886,TSLA
2025-02-25,348.7021,TSLA
2025-02-26,342.4614,TSLA
2025-02-27,335.8636,TSLA
2025-02-28,330.9607,TSLA
2025-03-03,326.2407,TSLA
2025-03-04,322.2079,TSLA
2025-03-05,318.1071,TSLA
2025-03-06,311.5007,TSLA
2025-03-07,304.8457,TSLA
2025-03-10,295.42,TSLA
2025-03-11,286.1357,TSLA
2025-03-12,278.5421,TSLA
2025-03-13,271.605,TSLA
2025-03-14,265.8514,TSLA
2025-03-17,261.2236,TSLA
2025-03-18,256.5457,TSLA
2025-03-19,253.2536,TSLA
2025-03-20,249.2021,TSLA
2025-03-21,246.635,TSLA
2025-03-24,247.0886,TSLA
2025-03-25,247.7343,TSLA
2025-03-26,248.3493,TSLA
2025-03-27,249.0964,TSLA
2025-03-28,252.0536,TSLA
2025-03-31,254.095,TSLA
2025-04-01,255.55,TSLA
2025-04-02,258.5557,TSLA
2025-04-03,259.7914,TSLA
2025-04-04,259.8929,TSLA
2025-04-07,260.4629,TSLA
2025-04-08,259.4629,TSLA
2025-04-09,262.03,TSLA
2025-04-10,262.2936,TSLA
2025-04-11,260.4307,TSLA
2025-04-14,257.8743,TSLA
2025-04-15,256.5921,TSLA
2025-04-16,254.3364,TSLA
2025-04-17,252.7521,TSLA
2025-04-21,250.4907,TSLA
2025-04-22,248.3129,TSLA
2025-04-23,246.0257,TSLA
2025-04-24,245.4707,TSLA
2025-04-25,248.7221,TSLA
2025-04-28,252.4786,TSLA
2025-04-29,257.4907,TSLA
2025-04-30,258.2021,TSLA
2025-05-01,260.2107,TSLA
2025-05-02,262.7036,TSLA
2025-05-05,264.6971,TSLA
2025-05-06,266.2143,TSLA
2025-05-07,268.6907,TSLA
2025-05-08,271.7943,TSLA
2025-05-09,276.8486,TSLA
2025-05-12,282.5921,TSLA
2025-05-13,288.5443,TSLA
2025-05-14,294.8421,TSLA
2025-05-15,298.9757,TSLA
2025-05-16,303.5543,TSLA
2025-05-19,307.13,TSLA
2025-05-20,311.5343,TSLA
2025-05-21,315.3986,TSLA
2025-05-22,319.2436,TSLA
2025-05-23,323.4636,TSLA
2025-05-27,329.7164,TSLA
2025-05-28,335.4793,TSLA
2025-05-29,340.7371,TSLA
