date,open,high,low,close,volume,symbol,rsi,sma,month,month_name,weekday_name
2025-01-03,243.36,244.18,241.89,243.36,40244114.0,AAPL,45.3638,251.0493,1,January,Friday
2025-01-06,244.31,247.33,243.2,245.0,45045571.0,AAPL,48.1452,250.8263,1,January,Monday
2025-01-07,242.98,245.55,241.35,242.21,40855960.0,AAPL,44.038,250.197,1,January,Tuesday
2025-01-08,241.92,243.7123,240.05,242.7,37628940.0,AAPL,44.9266,249.4288,1,January,Wednesday
2025-01-10,240.01,240.16,233.0,236.85,61710856.0,AAPL,37.3095,248.6307,1,January,Friday
2025-01-13,233.53,234.67,229.72,234.4,49630725.0,AAPL,34.6592,247.5339,1,January,Monday
2025-01-14,234.75,236.12,232.472,233.28,39435294.0,AAPL,33.4881,246.0225,1,January,Tuesday
2025-01-15,234.635,238.96,234.43,237.87,39831969.0,AAPL,42.1198,244.7825,1,January,Wednesday
2025-01-16,237.35,238.01,228.03,228.26,71759052.0,AAPL,32.585,242.6489,1,January,Thursday
2025-01-17,232.115,232.29,228.48,229.98,68488301.0,AAPL,35.4036,240.5794,1,January,Friday
2025-01-21,224.0,224.42,219.38,222.64,98070429.0,AAPL,29.6975,238.2314,1,January,Tuesday
2025-01-22,219.79,224.12,219.79,223.83,64126500.0,AAPL,31.6217,236.2096,1,January,Wednesday
2025-01-23,224.74,227.03,222.3,223.66,60234760.0,AAPL,31.4891,234.3027,1,January,Thursday
2025-01-24,224.78,225.63,221.41,222.78,54697907.0,AAPL,30.7698,232.8012,1,January,Friday
2025-01-27,224.02,232.15,223.98,229.86,94863418.0,AAPL,42.2072,231.8391,1,January,Monday
2025-01-28,230.85,240.19,230.81,238.26,75707569.0,AAPL,52.2803,231.3588,1,January,Tuesday
2025-01-29,234.12,239.855,234.01,239.36,45486100.0,AAPL,53.4251,231.1557,1,January,Wednesday
2025-01-30,238.665,240.79,237.21,237.59,55658279.0,AAPL,51.2927,230.7916,1,January,Thursday
2025-01-31,247.19,247.19,233.44,236.0,101075128.0,AAPL,49.3858,230.731,1,January,Friday
2025-02-03,229.99,231.83,225.7,228.01,73063301.0,AAPL,41.1141,230.2756,2,February,Monday
2025-02-04,227.25,233.13,226.65,232.8,45067301.0,AAPL,46.8604,230.2414,2,February,Tuesday
2025-02-05,228.53,232.67,228.27,232.47,39664989.0,AAPL,46.5235,229.8566,2,February,Wednesday
2025-02-06,231.285,233.8,230.425,233.22,29925349.0,AAPL,47.4481,230.2101,2,February,Thursday
2025-02-07,232.6,234.0,227.26,227.63,39707224.0,AAPL,41.6661,230.0426,2,February,Friday
2025-02-10,229.57,230.585,227.2,227.65,33115645.0,AAPL,42.0335,230.4174,2,February,Monday
2025-02-11,228.2,235.23,228.13,232.62,53718362.0,AAPL,48.4742,231.062,2,February,Tuesday
2025-02-12,231.2,236.96,230.68,236.87,45243292.0,AAPL,53.2571,232.022,2,February,Wednesday
2025-02-13,236.91,242.3399,235.57,241.53,53614054.0,AAPL,57.8744,233.377,2,February,Thursday
2025-02-14,241.25,245.55,240.99,244.6,40896227.0,AAPL,60.6333,234.4466,2,February,Friday
2025-02-18,244.15,245.18,241.84,244.47,48822491.0,AAPL,60.4528,234.9082,2,February,Tuesday
2025-02-19,244.66,246.01,243.1604,244.87,32204215.0,AAPL,60.8392,235.3201,2,February,Wednesday
2025-02-20,244.94,246.78,244.29,245.83,32316907.0,AAPL,61.8038,235.9265,2,February,Thursday
2025-02-21,245.95,248.69,245.22,245.55,53197431.0,AAPL,61.3293,236.6263,2,February,Friday
2025-02-24,244.925,248.86,244.42,247.1,51326396.0,AAPL,63.0217,238.006,2,February,Monday
2025-02-25,248.0,250.0,244.91,247.04,48013272.0,AAPL,62.907,239.0401,2,February,Tuesday
2025-02-26,244.33,244.98,239.13,240.36,44433564.0,AAPL,51.6328,239.6212,2,February,Wednesday
2025-02-27,239.41,242.46,237.06,237.3,41153639.0,AAPL,47.4386,239.9305,2,February,Thursday
2025-02-28,236.95,242.09,230.2,241.84,56833360.0,AAPL,53.4768,240.9621,2,February,Friday
2025-03-03,241.79,244.0272,236.112,238.03,47183985.0,AAPL,48.4469,241.7026,3,March,Monday
2025-03-04,237.705,240.07,234.68,235.93,53798062.0,AAPL,45.8851,241.9387,3,March,Tuesday
2025-03-05,235.42,236.55,229.23,235.74,47227643.0,AAPL,45.6498,241.8581,3,March,Wednesday
2025-03-06,234.435,237.86,233.1581,235.33,45170419.0,AAPL,45.1125,241.4158,3,March,Thursday
2025-03-07,235.105,241.37,234.76,239.07,46273565.0,AAPL,50.8018,241.0213,3,March,Friday
2025-03-10,235.54,236.16,224.22,227.48,71451281.0,AAPL,37.7448,239.8092,3,March,Monday
2025-03-11,223.805,225.8399,217.45,220.84,76137410.0,AAPL,32.5787,238.0949,3,March,Tuesday
2025-03-12,220.14,221.75,214.91,216.98,62547467.0,AAPL,30.0074,236.0367,3,March,Wednesday
2025-03-13,215.95,216.8394,208.42,209.68,61368330.0,AAPL,25.8519,233.4777,3,March,Thursday
2025-03-14,211.25,213.95,209.58,213.49,60107582.0,AAPL,31.2065,231.08,3,March,Friday
2025-03-17,213.31,215.22,209.97,214.0,48073426.0,AAPL,31.9153,228.7229,3,March,Monday
2025-03-18,214.16,215.15,211.49,212.69,42432426.0,AAPL,31.0309,226.7489,3,March,Tuesday
2025-03-19,214.22,218.76,213.75,215.24,54385391.0,AAPL,34.8173,225.1751,3,March,Wednesday
2025-03-20,213.99,217.4899,212.22,214.1,48862947.0,AAPL,33.9208,223.1961,3,March,Thursday
2025-03-21,211.56,218.84,211.28,218.27,94127768.0,AAPL,40.0065,221.7864,3,March,Friday
2025-03-24,221.0,221.48,218.58,220.73,44299483.0,AAPL,43.3227,220.7021,3,March,Monday
2025-03-25,220.77,224.1,220.08,223.75,34493583.0,AAPL,47.1825,219.8467,3,March,Tuesday
2025-03-26,223.51,225.02,220.47,221.53,34532656.0,AAPL,44.7689,218.8622,3,March,Wednesday
2025-03-27,221.39,224.99,220.5601,223.85,37094774.0,AAPL,47.7755,217.7764,3,March,Thursday
2025-03-28,221.67,223.81,217.68,217.9,39818617.0,AAPL,41.5312,217.0929,3,March,Friday
2025-03-31,217.005,225.62,216.23,222.13,65299321.0,AAPL,46.8498,217.185,3,March,Monday
2025-04-01,219.805,223.68,218.9,223.19,36412740.0,AAPL,48.1232,217.628,4,April,Tuesday
2025-04-02,221.315,225.19,221.02,223.89,35905904.0,AAPL,48.9924,218.6417,4,April,Wednesday
2025-04-03,205.54,207.49,201.25,203.19,103419006.0,AAPL,31.9469,217.9069,4,April,Thursday
2025-04-04,193.89,199.88,187.34,188.38,125910913.0,AAPL,25.1933,216.0792,4,April,Friday
2025-04-07,177.2,194.15,174.62,181.46,160466286.0,AAPL,22.771,213.8512,4,April,Monday
2025-04-08,186.7,190.335,169.2101,172.42,120859491.0,AAPL,20.0578,210.7964,4,April,Tuesday
2025-04-09,171.95,200.61,171.89,198.85,184395885.0,AAPL,41.8665,209.7085,4,April,Wednesday
2025-04-10,189.065,194.7799,183.0,190.42,121879981.0,AAPL,38.2795,207.7216,4,April,Thursday
2025-04-11,186.1,199.54,186.06,198.15,87435915.0,AAPL,43.0941,206.1108,4,April,Friday
2025-04-14,211.44,212.94,201.1621,202.52,101352911.0,AAPL,45.6742,204.5962,4,April,Monday
2025-04-15,201.855,203.51,199.8,202.14,51343872.0,AAPL,45.4811,203.2129,4,April,Tuesday
2025-04-16,198.36,200.7,192.37,194.27,59732423.0,AAPL,41.5619,201.1027,4,April,Wednesday
2025-04-17,197.2,198.8335,194.42,196.98,52164675.0,AAPL,43.3715,199.6102,4,April,Thursday
2025-04-21,193.265,193.8,189.8112,193.16,46742537.0,AAPL,41.4243,197.5435,4,April,Monday
2025-04-22,196.12,201.59,195.97,199.74,52976371.0,AAPL,45.9276,195.8705,4,April,Tuesday
2025-04-23,206.0,208.0,202.799,204.6,52929165.0,AAPL,49.0436,194.4944,4,April,Wednesday
2025-04-24,204.89,208.8299,202.94,208.37,47310989.0,AAPL,51.3841,194.8639,4,April,Thursday
2025-04-25,206.365,209.75,206.2,209.28,38222258.0,AAPL,51.9577,196.3549,4,April,Friday
2025-04-28,210.0,211.5,207.46,210.14,38743074.0,AAPL,52.5277,198.401,4,April,Monday
2025-04-29,208.693,212.24,208.37,211.21,36827633.0,AAPL,53.2706,201.1683,4,April,Tuesday
2025-04-30,209.3,213.58,206.6705,212.5,52286454.0,AAPL,54.2012,202.1421,4,April,Wednesday
2025-05-01,209.08,214.56,208.9,213.32,57365675.0,AAPL,54.8171,203.7758,5,May,Thursday
2025-05-02,206.09,206.99,202.16,205.35,101010621.0,AAPL,48.0526,204.2894,5,May,Friday
2025-05-05,203.1,204.1,198.21,198.89,69018452.0,AAPL,43.38,204.0305,5,May,Monday
2025-05-06,198.21,200.65,197.02,198.51,51216482.0,AAPL,43.1144,203.7715,5,May,Tuesday
2025-05-07,199.17,199.44,193.25,196.25,68616943.0,AAPL,41.4875,203.9128,5,May,Wednesday
2025-05-08,197.72,200.05,194.6796,197.49,50478872.0,AAPL,42.7637,203.9492,5,May,Thursday
2025-05-09,199.0,200.5399,197.535,198.53,36453923.0,AAPL,43.8694,204.3323,5,May,Friday
2025-05-12,210.97,211.2679,206.75,210.79,63775814.0,AAPL,55.1117,205.1391,5,May,Monday
2025-05-13,210.43,213.4,209.0,212.93,51909332.0,AAPL,56.7097,205.7521,5,May,Tuesday
2025-05-14,212.43,213.94,210.5801,212.33,49325825.0,AAPL,56.1066,206.0533,5,May,Wednesday
2025-05-15,210.95,212.96,209.54,211.45,45029473.0,AAPL,55.1798,206.2267,5,May,Thursday
2025-05-16,212.36,212.57,209.77,211.26,54737850.0,AAPL,54.9686,206.3252,5,May,Friday
2025-05-19,207.91,209.48,204.26,208.78,46140527.0,AAPL,52.1629,206.1702,5,May,Monday
2025-05-20,207.67,208.47,205.03,206.86,42496635.0,AAPL,50.0337,205.7861,5,May,Tuesday
2025-05-21,205.17,207.04,200.71,202.09,59211774.0,AAPL,45.1075,205.0027,5,May,Wednesday
2025-05-22,200.71,202.75,199.7,201.36,46742407.0,AAPL,44.3872,204.7358,5,May,Thursday
2025-05-23,193.665,197.7,193.46,195.27,78432918.0,AAPL,38.8184,204.4947,5,May,Friday
2025-05-27,198.3,200.74,197.43,200.21,56288475.0,AAPL,44.8615,204.6336,5,May,Tuesday
2025-05-28,200.59,202.73,199.9,200.42,45339678.0,AAPL,45.1097,204.9487,5,May,Wednesday
2025-05-29,203.575,203.81,198.51,199.95,51477938.0,AAPL,44.6255,205.1418,5,May,Thursday
2025-01-03,421.08,424.03,419.54,423.35,16662943.0,MSFT,41.6101,433.7545,1,January,Friday
2025-01-06,428.0,434.32,425.4774,427.85,20573648.0,MSFT,46.3049,432.3726,1,January,Monday
2025-01-07,429.0,430.65,420.8,422.37,18139065.0,MSFT,41.888,430.2934,1,January,Tuesday
2025-01-08,423.46,426.97,421.54,424.56,15054575.0,MSFT,44.1795,428.1659,1,January,Wednesday
2025-01-10,424.63,424.71,415.02,418.95,20201132.0,MSFT,39.845,426.8538,1,January,Friday
2025-01-13,415.235,418.5,412.29,417.19,17604780.0,MSFT,38.5666,425.442,1,January,Monday
2025-01-14,417.81,419.74,410.72,415.67,16935856.0,MSFT,37.4491,423.9527,1,January,Tuesday
2025-01-15,419.13,428.15,418.265,426.31,19637838.0,MSFT,48.6629,423.3166,1,January,Wednesday
2025-01-16,428.695,429.49,424.39,424.58,15300023.0,MSFT,47.1818,422.267,1,January,Thursday
2025-01-17,434.085,434.48,428.17,429.03,26197507.0,MSFT,51.2887,421.6209,1,January,Friday
